,주유소명,대표자,주소,전화번호,데이터기준일자
0,태영유업(주),강계영,서울특별시 금천구 시흥대로 201(독산본동 967),02-856-0283,2019-09-16
1,KH에너지(주)직영 시흥대로 주유소,송진수,서울특별시 금천구 시흥대로 466(시흥1동 993),02-892-5156,2019-09-16
2,SK에너지(주)박미주유소,조경목,서울특별시 금천구 시흥대로 646-2 (시흥3동 980),02-802-6749,2019-09-16
3,지에스칼텍스(주)일신주유소,"허세홍, 김형국",서울특별시 금천구 시흥대로 569 (시흥3동 939-4),02-896-5145,2019-09-16
4,SK네트웍스㈜ 순환도로주유소,"최신원, 박상규",서울특별시 금천구 독산동길 72 (독산3동 900-4),02-859-5426,2019-09-16
5,㈜진우에너지 백운주유소,이미선,서울특별시 금천구 시흥대로 405 (독산2동 1077-3),02-894-8521,2019-09-16
6,백산주유소,문성호,서울특별시 금천구 시흥대로 513 (시흥본동 904),02-807-3161,2019-09-16
7,주식회사 명보에너지,나미선,서울특별시 금천구 시흥대로 310 (독산1동 292-7),02-806-8336,2019-09-16
8,SK에너지㈜ 이가주유소,조경목,서울특별시 금천구 시흥대로 244 (독산1동 150-6),02-861-2241,2019-09-16
9,구광석유(주)구광주유소,서영철,서울특별시 금천구 서부샛길 33 (가산동 535-155),02-868-6889,2019-09-16
10,경복에너지주유소,표종명,서울특별시 금천구 독산로 147 (시흥본동 860-36),02-891-5189,2019-09-16
11,대득에너지(금천셀프주유소),정용석,서울특별시 금천구 시흥동 983-1,02-805-7888,2019-09-16
12,남서울(경복에너지),안경복,서울특별시 금천구 독산로 257(독산동 195-2),02-855-9880,2019-09-16
